"sim","group","run","subj","alpha_sub_gen","beta_sub_gen","ndt_sub_gen","delta_female_sub_gen","delta_male_sub_gen","alpha_sub_sim_mean","beta_sub_sim_mean","ndt_sub_sim_mean","delta_female_sub_sim_mean","delta_male_sub_sim_mean","alpha_sub_sim_hdi_lo","alpha_sub_sim_hdi_hi","beta_sub_sim_hdi_lo","beta_sub_sim_hdi_hi","ndt_sub_sim_hdi_lo","ndt_sub_sim_hdi_hi","delta_female_sub_sim_hdi_lo","delta_female_sub_sim_hdi_hi","delta_male_sub_sim_hdi_lo","delta_male_sub_sim_hdi_hi","alpha_recover","beta_recover","ndt_recover","delta_female_recover","delta_male_recover"
11,NA,2,30,2.03108027758394,0.510676648783575,0.2,3.45086315746419,-2.70617337663019,2.19062028,0.5102872395,0.2,3.40153428390538,-2.92099811062531,2.01563,2.3621,0.471456,0.555256,0.2,0.2,2.9688435924913,3.88159839979847,-3.40210645628298,-2.49384462572578,1,1,NA,1,1
11,NA,2,31,2.24494547097654,0.491632905955597,0.2,3.13362190751662,-2.48724028120485,2.235640435,0.499280089,0.2,3.28870768133107,-2.38275509310252,2.06046,2.42144,0.45789,0.540582,0.2,0.2,2.83925918644304,3.71581751434577,-2.79905174911832,-1.95711937135764,1,1,NA,1,1
11,NA,2,32,2.12076679114709,0.488443289070952,0.2,3.14350385437897,-2.96100281592212,2.18422365,0.4717743545,0.2,3.06591493070031,-3.01751543912545,2.00158,2.36388,0.43205,0.512776,0.2,0.2,2.60216450386544,3.51430888665861,-3.48300101513698,-2.5740921412665,1,1,NA,1,1
11,NA,2,33,2.02666730677245,0.444340217585894,0.2,3.02601556616317,-2.82695020754594,2.190123865,0.474489286,0.2,3.47071324749001,-3.20516093057519,2.01361,2.35531,0.432653,0.512334,0.2,0.2,3.01052878875725,3.91210252453052,-3.65465697616712,-2.71503680188911,1,1,NA,1,1
11,NA,2,34,1.85021805432532,0.519212072297437,0.2,2.84809462258282,-3.16853198136231,2.072707855,0.4871059425,0.2,3.26422678417699,-3.15244846790251,1.9061,2.25368,0.44907,0.528655,0.2,0.2,2.81162112874985,3.74158274036141,-3.60333741056964,-2.67331190831297,0,1,NA,1,1
11,NA,2,35,1.99373265757811,0.47105589406326,0.2,3.26078855108385,-2.71280059945455,2.118279405,0.4961555065,0.2,3.29915019053857,-2.91187338144808,1.93811,2.28406,0.455222,0.535925,0.2,0.2,2.86507640204943,3.76521045465847,-3.36907211556223,-2.43585170423557,1,1,NA,1,1
11,NA,2,36,2.09719635541264,0.522683912277102,0.2,2.99761604479568,-2.09714513594921,2.0676560825,0.5366558645,0.2,2.79598497800529,-2.14889034053394,1.89917,2.22319,0.486562,0.585153,0.2,0.2,2.36924346577802,3.25392494803197,-2.53528032183904,-1.71911664025007,1,1,NA,1,1
11,NA,2,37,2.34566919159402,0.518055491656967,0.2,1.8616361602953,-2.30259132777927,2.1800999775,0.51443281725,0.2,1.95385634511431,-2.32064427230903,2.00729,2.3676,0.457478,0.565981,0.2,0.2,1.54252111824361,2.3501604465734,-2.70941184923278,-1.89384339653062,1,1,NA,1,1
11,NA,2,38,2.23920803913372,0.558689528056585,0.2,2.34087024756418,-2.66183695218804,2.107468745,0.515924508,0.2,2.39648308443291,-2.22857065233023,1.94271,2.27019,0.465069,0.56485,0.2,0.2,1.98045706504904,2.8040951113879,-2.60716735514049,-1.81696831871986,1,1,NA,1,0
11,NA,2,39,2.21261928904947,0.452012848632203,0.2,2.30896948183811,-2.19267140217745,2.0909121475,0.45309434725,0.2,2.14439285665286,-2.1308969938466,1.93857,2.26406,0.402157,0.505982,0.2,0.2,1.76426783996199,2.53949813412566,-2.54895674340194,-1.72077485016323,1,1,NA,1,1
11,NA,2,40,2.08566344573769,0.514597043978841,0.2,3.03838708724693,-2.43961550036088,1.967046765,0.534845287,0.2,2.83252008193184,-2.4939999013588,1.80951,2.12999,0.486442,0.582602,0.2,0.2,2.36595301514864,3.30507580757298,-2.9097214627819,-2.06183396037709,1,1,NA,1,1
11,NA,2,41,1.89867143755873,0.492980444566839,0.2,2.16880974531243,-2.9075224115313,1.97986349,0.45179668775,0.2,2.5876870900293,-2.7055466913242,1.82026,2.13064,0.406177,0.502401,0.2,0.2,2.15581451403048,3.02067978602153,-3.18393550260121,-2.27505508999977,1,1,NA,1,1
11,NA,2,42,1.96219780688508,0.493853453112163,0.2,2.50102809494775,-2.80918929419255,1.9565975775,0.5115031305,0.2,2.64698390569184,-2.85203270628189,1.78911,2.10559,0.464283,0.559542,0.2,0.2,2.18753656097037,3.05034637031023,-3.32528170321942,-2.41032559921855,1,1,NA,1,1
11,NA,2,43,2.24342770649339,0.507970385314151,0.2,1.97588204502243,-2.7337908441988,2.1137232575,0.50144205725,0.2,2.13260817504223,-2.47167891844619,1.94791,2.27938,0.452589,0.556527,0.2,0.2,1.72957320963236,2.5164138217821,-2.90385909904381,-2.06930980791103,1,1,NA,1,1
11,NA,2,44,2.00207382312964,0.479476319701417,0.2,2.61439627612173,-2.150664724842,2.051657965,0.50776269,0.2,2.4620596315146,-2.43189991049305,1.89313,2.20809,0.458599,0.557951,0.2,0.2,2.03391497516185,2.88034212115197,-2.84690835288897,-2.0224314040229,1,1,NA,1,1
11,NA,2,45,1.92289612316443,0.543254196474883,0.2,2.48681596217868,-1.91524934827788,2.016067735,0.56140617375,0.2,2.40444145735221,-2.31699277906139,1.85586,2.16433,0.50828,0.608342,0.2,0.2,1.97162886949699,2.82978506347709,-2.73768448021162,-1.91531462696492,1,1,NA,1,0
11,NA,2,46,2.2871804859672,0.473656264641275,0.2,2.4906391611257,-3.01856032951983,2.113521525,0.45146882025,0.2,2.58120338126682,-2.48519577796541,1.94439,2.28708,0.401455,0.503632,0.2,0.2,2.16689840447002,3.00894885309726,-2.92348772172836,-2.04327855149572,0,1,NA,1,0
11,NA,2,47,2.17794013585335,0.612720500984993,0.2,2.4705984839246,-2.27803789391223,2.0552976275,0.59720749775,0.2,2.4089634191465,-2.07428676556095,1.90259,2.21534,0.549367,0.646364,0.2,0.2,1.97668294321826,2.82865678429307,-2.44110778727737,-1.69045851011581,1,1,NA,1,1
11,NA,2,48,2.07321821049436,0.490133635373162,0.2,2.78042147801396,-2.39718004096165,2.0138996925,0.52422591475,0.2,2.37373747198566,-2.57336638281908,1.84866,2.15344,0.473646,0.571989,0.2,0.2,1.92762841576694,2.78927471234768,-3.00804968319973,-2.15888320845673,1,1,NA,1,1
11,NA,2,49,1.86384847784835,0.479322731062277,0.2,2.10129216126493,-1.73232024519039,1.9944986525,0.516879245,0.2,2.22955686055528,-2.05519376387454,1.85371,2.1472,0.466246,0.566586,0.2,0.2,1.82546282319905,2.62617305002563,-2.45115042400334,-1.67153277488814,1,1,NA,1,1
11,NA,2,50,2.11570270301699,0.58429315456146,0.2,2.49373517188754,-2.8897053205475,2.045567345,0.6056740525,0.2,2.55162849438864,-2.54336716783595,1.88127,2.20002,0.560196,0.65408,0.2,0.2,2.09003190259922,2.98725356125841,-2.92408030777295,-2.11839626590091,1,1,NA,1,1
11,NA,2,51,2.18900102505182,0.609835233905969,0.2,2.4526408827106,-1.85421207413737,2.1128981175,0.58132910575,0.2,2.76978654144053,-1.75019807627148,1.95693,2.27809,0.530454,0.630278,0.2,0.2,2.31517836118747,3.23980350722035,-2.09016904278291,-1.39348909915487,1,1,NA,1,1
11,NA,2,52,2.00804630302271,0.507069553002704,0.2,2.1390735169987,-2.99434410352985,2.0790334275,0.4674044375,0.2,2.32451201138917,-2.73068114506491,1.91588,2.23007,0.417312,0.514618,0.2,0.2,1.92112777135442,2.72694516960892,-3.15431748152053,-2.24679541021702,1,1,NA,1,1
11,NA,2,53,2.21811316096293,0.600749941262666,0.2,2.1748232215833,-2.03310963646346,2.1776013525,0.54394713425,0.2,2.23696177443725,-1.9835933856859,2.00241,2.348,0.496612,0.597083,0.2,0.2,1.82780407796436,2.62631210388429,-2.37136416961388,-1.632411114109,1,0,NA,1,1
11,NA,2,54,2.21153793359302,0.552687116859159,0.2,2.51026644772654,-2.95247368065041,2.0492370625,0.52412315875,0.2,2.37888332291242,-2.67688667826097,1.89527,2.20053,0.473677,0.570513,0.2,0.2,1.96256187617678,2.79683874545313,-3.09691766833794,-2.2167310525072,0,1,NA,1,1
11,NA,2,55,2.04874228292199,0.599210379425366,0.2,2.53425826678028,-2.66482937555578,1.965486135,0.61650727675,0.2,2.50384634639705,-2.64241901862239,1.81203,2.11572,0.569054,0.663735,0.2,0.2,2.05580074522195,2.97092547258086,-3.08270858144057,-2.22628553526789,1,1,NA,1,1
11,NA,2,56,2.11647667517584,0.50828070020016,0.2,1.9643357576587,-2.72017566787249,2.0144754725,0.52309963925,0.2,2.07422948916986,-2.49184537520085,1.84956,2.16934,0.47194,0.575618,0.2,0.2,1.64690274327405,2.50660273297873,-2.94392963694796,-2.06357291634309,1,1,NA,1,1
11,NA,2,57,2.17580824104684,0.475029875140913,0.2,1.84054120163772,-2.46268865329568,2.04089158,0.488559528,0.2,1.8600510788403,-2.53219255828401,1.87273,2.19197,0.438462,0.538273,0.2,0.2,1.46688368701778,2.23475674522914,-2.95986310473527,-2.10288590948116,1,1,NA,1,1
11,NA,2,58,2.1221273754232,0.459197168214821,0.2,2.25307806129283,-2.18666968670852,2.0497213,0.4341655835,0.2,2.2915938996721,-2.0084978302,1.89785,2.20029,0.385271,0.487845,0.2,0.2,1.88743179208312,2.70510161079038,-2.4107399171501,-1.6234150496767,1,1,NA,1,1
11,NA,2,59,1.9826780155218,0.44276631392957,0.2,2.60058806552537,-2.61929364140477,1.91175422,0.5102500225,0.2,2.78007922181685,-2.70557970224954,1.74766,2.0752,0.462793,0.555822,0.2,0.2,2.30983765932907,3.25413344073155,-3.15329644979177,-2.24955911512053,1,0,NA,1,1
11,NA,2,60,2.29595206447796,0.559628683090776,0.2,2.55155308611527,-2.22996582249801,2.141686175,0.59731784325,0.2,2.21950158241289,-2.06780568673047,1.98138,2.31056,0.547548,0.644249,0.2,0.2,1.79887416103871,2.63533483736154,-2.42698444685799,-1.7069497159807,1,1,NA,1,1
11,NA,2,61,2.20764126462352,0.539132983347071,0.2,2.05306146829845,-2.08855270143253,2.1081109275,0.51926118325,0.2,2.16256807319686,-2.09905316413451,1.9439,2.26827,0.469921,0.569136,0.2,0.2,1.79040000662624,2.55364258136777,-2.48683924469553,-1.72906441527532,1,1,NA,1,1
11,NA,2,62,2.00270510712745,0.522839422348899,0.2,2.4992886360686,-2.41366532960075,2.060304575,0.5408252705,0.2,2.30220212893256,-2.76313650872622,1.90637,2.22608,0.492111,0.591548,0.2,0.2,1.90081368107839,2.71203153633916,-3.20550225447257,-2.33187183286455,1,1,NA,1,1
11,NA,2,63,2.36004961331147,0.529020295386068,0.2,2.77171092954011,-2.33938530462447,2.20573487,0.551462858,0.2,2.50076301557242,-2.04557360028094,2.02768,2.39214,0.500039,0.601071,0.2,0.2,2.07693486571638,2.94382717040218,-2.42155181081894,-1.67103855016994,1,1,NA,1,1
11,NA,2,64,2.18707719401505,0.511296068354541,0.2,2.00558585020003,-2.33450575478156,2.0785743575,0.513399449,0.2,2.27990162261929,-2.39274401575307,1.91697,2.23553,0.464959,0.563737,0.2,0.2,1.84138455873838,2.67610118127016,-2.7941055423511,-1.96681910670712,1,1,NA,1,1
