"SubjID","Group","Resp","SignalStrength","n_trials","q1","q3","q5","q7","q9","GroupName","RespName"
4,1,2,-1.54761952581789,12,0.6895,0.7109,0.8335,0.8965,1.0176,"Control","NotLookingAtMe"
4,1,1,-1.54761952581789,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
4,1,2,-1.16071464436341,12,0.6224,0.7091,0.78,0.8532,0.9091,"Control","NotLookingAtMe"
4,1,1,-1.16071464436341,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
4,1,1,-0.773809762908943,1,0.692,0.692,0.692,0.692,0.692,"Control","LookingAtMe"
4,1,2,-0.773809762908943,11,0.646,0.698,0.721,0.844,0.99,"Control","NotLookingAtMe"
4,1,1,-0.386904881454471,1,1.2,1.2,1.2,1.2,1.2,"Control","LookingAtMe"
4,1,2,-0.386904881454471,11,0.609,0.649,0.734,0.792,0.91,"Control","NotLookingAtMe"
4,1,2,0,12,0.7533,0.8525,0.9255,0.9653,1.0064,"Control","NotLookingAtMe"
4,1,1,0,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
4,1,1,0.386904881454471,1,0.643,0.643,0.643,0.643,0.643,"Control","LookingAtMe"
4,1,2,0.386904881454471,11,0.639,0.727,0.743,0.927,1.255,"Control","NotLookingAtMe"
4,1,1,0.773809762908943,3,0.7736,0.8148,0.856,1.0208,1.1856,"Control","LookingAtMe"
4,1,2,0.773809762908943,9,0.7408,0.8176,0.927,1.0766,1.2412,"Control","NotLookingAtMe"
4,1,1,1.16071464436341,9,0.823,0.847,0.913,1.007,1.1548,"Control","LookingAtMe"
4,1,2,1.16071464436341,3,0.6118,0.6134,0.615,0.6834,0.7518,"Control","NotLookingAtMe"
4,1,1,1.54761952581789,9,0.6846,0.759,0.919,0.9436,1.1726,"Control","LookingAtMe"
4,1,2,1.54761952581789,3,0.7632,0.9056,1.048,1.14,1.232,"Control","NotLookingAtMe"
5,1,2,-1.54761952581789,12,0.7008,0.7824,0.8545,0.925,1.1626,"Control","NotLookingAtMe"
5,1,1,-1.54761952581789,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
5,1,2,-1.16071464436341,12,0.7696,0.8211,0.925,0.9987,1.0769,"Control","NotLookingAtMe"
5,1,1,-1.16071464436341,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
5,1,2,-0.773809762908943,12,0.8218,0.8524,0.9295,1.0311,1.2582,"Control","NotLookingAtMe"
5,1,1,-0.773809762908943,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
5,1,2,-0.386904881454471,11,0.82,0.856,0.891,0.974,1.114,"Control","NotLookingAtMe"
5,1,1,-0.386904881454471,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
5,1,1,0,1,1.342,1.342,1.342,1.342,1.342,"Control","LookingAtMe"
5,1,2,0,10,0.9141,1.0224,1.094,1.2021,1.418,"Control","NotLookingAtMe"
5,1,1,0.386904881454471,5,1.0574,1.167,1.327,1.3374,1.3952,"Control","LookingAtMe"
5,1,2,0.386904881454471,3,0.9474,1.0862,1.225,1.3086,1.3922,"Control","NotLookingAtMe"
5,1,1,0.773809762908943,11,0.958,1.034,1.148,1.168,1.397,"Control","LookingAtMe"
5,1,2,0.773809762908943,1,1.128,1.128,1.128,1.128,1.128,"Control","NotLookingAtMe"
5,1,1,1.16071464436341,12,0.8739,0.9027,0.963,0.9953,1.1937,"Control","LookingAtMe"
5,1,2,1.16071464436341,0,NA,NA,NA,NA,NA,"Control","NotLookingAtMe"
5,1,1,1.54761952581789,12,0.8546,0.9208,0.945,1.0951,1.1236,"Control","LookingAtMe"
5,1,2,1.54761952581789,0,NA,NA,NA,NA,NA,"Control","NotLookingAtMe"
6,1,2,-1.54761952581789,12,0.7772,0.8361,0.95,1.0484,1.2154,"Control","NotLookingAtMe"
6,1,1,-1.54761952581789,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
6,1,1,-1.16071464436341,1,0.766,0.766,0.766,0.766,0.766,"Control","LookingAtMe"
6,1,2,-1.16071464436341,10,0.7117,0.7409,0.7845,0.8769,1.0244,"Control","NotLookingAtMe"
6,1,2,-0.773809762908943,12,0.7002,0.7925,0.89,1.0465,1.217,"Control","NotLookingAtMe"
6,1,1,-0.773809762908943,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
6,1,2,-0.386904881454471,12,0.7839,0.9439,0.977,1.011,1.034,"Control","NotLookingAtMe"
6,1,1,-0.386904881454471,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
6,1,2,0,11,0.873,1.024,1.066,1.134,1.251,"Control","NotLookingAtMe"
6,1,1,0,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
6,1,1,0.386904881454471,7,1.0504,1.094,1.109,1.1842,1.3642,"Control","LookingAtMe"
6,1,2,0.386904881454471,4,0.9571,1.0333,1.1625,1.2797,1.2839,"Control","NotLookingAtMe"
6,1,1,0.773809762908943,9,0.8676,0.9152,1.066,1.1552,1.2514,"Control","LookingAtMe"
6,1,2,0.773809762908943,0,NA,NA,NA,NA,NA,"Control","NotLookingAtMe"
6,1,1,1.16071464436341,12,0.8228,0.8881,0.9835,1.0762,1.221,"Control","LookingAtMe"
6,1,2,1.16071464436341,0,NA,NA,NA,NA,NA,"Control","NotLookingAtMe"
6,1,1,1.54761952581789,11,0.793,0.894,0.922,1.029,1.186,"Control","LookingAtMe"
6,1,2,1.54761952581789,0,NA,NA,NA,NA,NA,"Control","NotLookingAtMe"
7,1,2,-1.54761952581789,12,0.6027,0.6964,0.767,0.8759,1.0141,"Control","NotLookingAtMe"
7,1,1,-1.54761952581789,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
7,1,2,-1.16071464436341,12,0.6665,0.7374,0.802,0.8487,0.9828,"Control","NotLookingAtMe"
7,1,1,-1.16071464436341,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
7,1,2,-0.773809762908943,12,0.5382,0.6259,0.6965,0.7519,0.8097,"Control","NotLookingAtMe"
7,1,1,-0.773809762908943,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
7,1,1,-0.386904881454471,1,0.558,0.558,0.558,0.558,0.558,"Control","LookingAtMe"
7,1,2,-0.386904881454471,11,0.612,0.663,0.685,0.719,0.91,"Control","NotLookingAtMe"
7,1,2,0,12,0.6511,0.724,0.774,0.9858,1.127,"Control","NotLookingAtMe"
7,1,1,0,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
7,1,2,0.386904881454471,12,0.6678,0.8154,0.919,0.9805,1.0184,"Control","NotLookingAtMe"
7,1,1,0.386904881454471,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
7,1,1,0.773809762908943,2,0.8051,0.9193,1.0335,1.1477,1.2619,"Control","LookingAtMe"
7,1,2,0.773809762908943,7,0.8634,0.8866,0.918,1.1008,1.2464,"Control","NotLookingAtMe"
7,1,1,1.16071464436341,4,0.6923,0.6929,0.7305,0.7878,0.9066,"Control","LookingAtMe"
7,1,2,1.16071464436341,5,0.9852,1.0168,1.04,1.1864,1.3286,"Control","NotLookingAtMe"
7,1,1,1.54761952581789,12,0.7775,0.8265,0.866,0.946,1.2556,"Control","LookingAtMe"
7,1,2,1.54761952581789,0,NA,NA,NA,NA,NA,"Control","NotLookingAtMe"
8,1,2,-1.54761952581789,12,0.6209,0.6359,0.6475,0.742,0.8835,"Control","NotLookingAtMe"
8,1,1,-1.54761952581789,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
8,1,2,-1.16071464436341,12,0.6637,0.6803,0.6865,0.7309,0.7847,"Control","NotLookingAtMe"
8,1,1,-1.16071464436341,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
8,1,2,-0.773809762908943,12,0.5762,0.5816,0.6315,0.7169,0.8744,"Control","NotLookingAtMe"
8,1,1,-0.773809762908943,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
8,1,2,-0.386904881454471,12,0.6645,0.7037,0.7505,0.7953,0.8768,"Control","NotLookingAtMe"
8,1,1,-0.386904881454471,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
8,1,2,0,12,0.6366,0.6841,0.732,0.7707,0.9885,"Control","NotLookingAtMe"
8,1,1,0,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
8,1,2,0.386904881454471,12,0.6565,0.7924,0.8665,0.9545,1.1235,"Control","NotLookingAtMe"
8,1,1,0.386904881454471,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
8,1,1,0.773809762908943,3,0.984,1.196,1.408,1.4252,1.4424,"Control","LookingAtMe"
